"filename", "language", "Batch", "JSON", "JavaScript", "comment", "blank", "total"
"d:\Purple code\commands\moderator\faq.js", "JavaScript", 0, 0, 103, 0, 2, 105
"d:\Purple code\commands\moderator\navigation.js", "JavaScript", 0, 0, 16, 0, 1, 17
"d:\Purple code\commands\moderator\nick.js", "JavaScript", 0, 0, 49, 0, 2, 51
"d:\Purple code\commands\moderator\partner.js", "JavaScript", 0, 0, 38, 0, 4, 42
"d:\Purple code\commands\moderator\reactionroles.js", "JavaScript", 0, 0, 330, 9, 75, 414
"d:\Purple code\commands\moderator\reload.js", "JavaScript", 0, 0, 24, 0, 2, 26
"d:\Purple code\commands\moderator\remindtobump.js", "JavaScript", 0, 0, 22, 0, 3, 25
"d:\Purple code\commands\moderator\rules.js", "JavaScript", 0, 0, 86, 0, 17, 103
"d:\Purple code\commands\moderator\serverinfo.js", "JavaScript", 0, 0, 45, 0, 8, 53
"d:\Purple code\commands\moderator\setlevel.js", "JavaScript", 0, 0, 18, 0, 1, 19
"d:\Purple code\commands\rank\customcard.js", "JavaScript", 0, 0, 180, 0, 7, 187
"d:\Purple code\commands\rank\leaderboard.js", "JavaScript", 0, 0, 20, 0, 0, 20
"d:\Purple code\commands\rank\rank.js", "JavaScript", 0, 0, 56, 0, 2, 58
"d:\Purple code\commands\utility\afk.js", "JavaScript", 0, 0, 33, 0, 5, 38
"d:\Purple code\commands\utility\analyze.js", "JavaScript", 0, 0, 43, 0, 2, 45
"d:\Purple code\commands\utility\concepts.js", "JavaScript", 0, 0, 101, 0, 2, 103
"d:\Purple code\commands\utility\gif.js", "JavaScript", 0, 0, 14, 0, 0, 14
"d:\Purple code\commands\utility\help.js", "JavaScript", 0, 0, 96, 0, 9, 105
"d:\Purple code\commands\utility\image.js", "JavaScript", 0, 0, 45, 1, 10, 56
"d:\Purple code\commands\utility\ineedanangel.js", "JavaScript", 0, 0, 12, 0, 0, 12
"d:\Purple code\commands\utility\info.js", "JavaScript", 0, 0, 16, 0, 2, 18
"d:\Purple code\commands\utility\password.js", "JavaScript", 0, 0, 24, 0, 2, 26
"d:\Purple code\commands\utility\ping.js", "JavaScript", 0, 0, 27, 0, 2, 29
"d:\Purple code\commands\utility\portfolio.js", "JavaScript", 0, 0, 322, 0, 45, 367
"d:\Purple code\commands\utility\remind.js", "JavaScript", 0, 0, 31, 0, 5, 36
"d:\Purple code\commands\utility\serversuggest.js", "JavaScript", 0, 0, 29, 0, 3, 32
"d:\Purple code\commands\utility\snipe.js", "JavaScript", 0, 0, 21, 0, 1, 22
"d:\Purple code\commands\utility\suggest.js", "JavaScript", 0, 0, 41, 0, 3, 44
"d:\Purple code\commands\utility\textart.js", "JavaScript", 0, 0, 18, 0, 0, 18
"d:\Purple code\commands\utility\types.js", "JavaScript", 0, 0, 62, 0, 1, 63
"d:\Purple code\commands\utility\userinfo.js", "JavaScript", 0, 0, 30, 0, 1, 31
"d:\Purple code\commands\utility\wiki.js", "JavaScript", 0, 0, 25, 0, 5, 30
"d:\Purple code\commands\utility\youtube.js", "JavaScript", 0, 0, 18, 0, 1, 19
"d:\Purple code\counters\member-counter.js", "JavaScript", 0, 0, 11, 0, 0, 11
"d:\Purple code\counters\rndmmsg.js", "JavaScript", 0, 0, 10, 0, 2, 12
"d:\Purple code\database\ticket.json", "JSON", 0, 3, 0, 0, 0, 3
"d:\Purple code\database\xpmultiplier.json", "JSON", 0, 0, 0, 0, 1, 1
"d:\Purple code\events\client\interactionCreate.js", "JavaScript", 0, 0, 16, 0, 0, 16
"d:\Purple code\events\client\messageDelete.js", "JavaScript", 0, 0, 16, 0, 0, 16
"d:\Purple code\events\client\messageReactionAdd.js", "JavaScript", 0, 0, 53, 0, 6, 59
"d:\Purple code\events\client\ready.js", "JavaScript", 0, 0, 101, 0, 9, 110
"d:\Purple code\events\guild\guildMemberAdd.js", "JavaScript", 0, 0, 84, 5, 10, 99
"d:\Purple code\events\guild\guildMemberRemove.js", "JavaScript", 0, 0, 13, 1, 2, 16
"d:\Purple code\events\guild\messageCreate.js", "JavaScript", 0, 0, 58, 0, 10, 68
"d:\Purple code\functions\afk.js", "JavaScript", 0, 0, 47, 0, 7, 54
"d:\Purple code\functions\auditLog.js", "JavaScript", 0, 0, 13, 0, 2, 15
"d:\Purple code\functions\bump.js", "JavaScript", 0, 0, 14, 0, 0, 14
"d:\Purple code\functions\bumpcheck.js", "JavaScript", 0, 0, 25, 0, 1, 26
"d:\Purple code\functions\bumpreminder.js", "JavaScript", 0, 0, 23, 0, 2, 25
"d:\Purple code\functions\cardpreview.js", "JavaScript", 0, 0, 42, 0, 1, 43
"d:\Purple code\functions\chatbot.js", "JavaScript", 0, 0, 12, 0, 0, 12
"d:\Purple code\functions\faq.js", "JavaScript", 0, 0, 25, 0, 1, 26
"d:\Purple code\functions\forhumans.js", "JavaScript", 0, 0, 24, 0, 1, 25
"d:\Purple code\functions\inlineReply.js", "JavaScript", 0, 0, 26, 0, 6, 32
"d:\Purple code\functions\introCommands.js", "JavaScript", 0, 0, 31, 0, 5, 36
"d:\Purple code\functions\jsonReader.js", "JavaScript", 0, 0, 16, 0, 0, 16
"d:\Purple code\functions\levelup.js", "JavaScript", 0, 0, 57, 0, 5, 62
"d:\Purple code\functions\set.js", "JavaScript", 0, 0, 9, 0, 0, 9
"d:\Purple code\functions\similarcmd.js", "JavaScript", 0, 0, 20, 0, 0, 20
"d:\Purple code\functions\susPhoto.js", "JavaScript", 0, 0, 57, 0, 12, 69
"d:\Purple code\functions\thankyou.js", "JavaScript", 0, 0, 18, 0, 4, 22
"d:\Purple code\functions\welcomeMsg.js", "JavaScript", 0, 0, 20, 0, 1, 21
"d:\Purple code\handlers\command_handler.js", "JavaScript", 0, 0, 17, 0, 2, 19
"d:\Purple code\handlers\events_handler.js", "JavaScript", 0, 0, 12, 0, 2, 14
"d:\Purple code\index.js", "JavaScript", 0, 0, 59, 0, 15, 74
"d:\Purple code\menubuttons\blue.js", "JavaScript", 0, 0, 44, 0, 5, 49
"d:\Purple code\menubuttons\darkblue.js", "JavaScript", 0, 0, 44, 0, 10, 54
"d:\Purple code\menubuttons\darkgreen.js", "JavaScript", 0, 0, 44, 0, 10, 54
"d:\Purple code\menubuttons\darkorange.js", "JavaScript", 0, 0, 44, 0, 5, 49
"d:\Purple code\menubuttons\darkpink.js", "JavaScript", 0, 0, 44, 0, 5, 49
"d:\Purple code\menubuttons\darkpurple.js", "JavaScript", 0, 0, 44, 0, 5, 49
"d:\Purple code\menubuttons\darkred.js", "JavaScript", 0, 0, 44, 0, 10, 54
"d:\Purple code\menubuttons\darkyellow.js", "JavaScript", 0, 0, 44, 0, 11, 55
"d:\Purple code\menubuttons\green.js", "JavaScript", 0, 0, 44, 0, 10, 54
"d:\Purple code\menubuttons\nocolor.js", "JavaScript", 0, 0, 35, 0, 2, 37
"d:\Purple code\menubuttons\orange.js", "JavaScript", 0, 0, 44, 0, 10, 54
"d:\Purple code\menubuttons\pink.js", "JavaScript", 0, 0, 44, 0, 10, 54
"d:\Purple code\menubuttons\purple.js", "JavaScript", 0, 0, 44, 0, 5, 49
"d:\Purple code\menubuttons\red.js", "JavaScript", 0, 0, 44, 0, 10, 54
"d:\Purple code\menubuttons\yellow.js", "JavaScript", 0, 0, 44, 0, 10, 54
"d:\Purple code\models\rankSchema.js", "JavaScript", 0, 0, 8, 0, 4, 12
"d:\Purple code\package-lock.json", "JSON", 0, 8190, 0, 0, 1, 8191
"d:\Purple code\package.json", "JSON", 0, 43, 0, 0, 1, 44
"d:\Purple code\update.bat", "Batch", 2, 0, 0, 0, 1, 3
"Total", "-", 8, 8236, 5082, 16, 724, 14066
